Part,Value,Device,Package,Description,Remark,Source
C1,10uF,CPOL-EUSMCA,SMC_A,POLARIZED CAPACITOR,Only mount for 5V supply,
C2,100nF,C-EUC0603,C0603,CAPACITOR,Only mount for 5V supply,
C3,100nF,C-EUC0603,C0603,CAPACITOR,Only mount for 5V supply,
C4,47uF,CPOL-EUSMCA,SMC_A,POLARIZED CAPACITOR,,
C5,100nF,C-EUC0603,C0603,CAPACITOR,,
C6,100nF,C-EUC0603,C0603,CAPACITOR,,
C7,100nF,C-EUC0603,C0603,CAPACITOR,,
G1,CR2032H,LI BATTERY Varta,Only mount for CR2032 supply,https://www.aliexpress.com/item/Hot-Sale-10pcs-lot-CR2032-CR2025-Battery-Holder-Original-Batteries-Button-Cell-Holder-Socket-Case-Free/32476465581.html,,
IC1,,V_REG_LM1117SOT223,SOT223,Voltage Regulator LM1117,Only mount for 5V supply,
IC2,MEGA328P-AU,MEGA48/88/168-AU,TQFP32-08,,,
L1,,LEDCHIPLED_0603,CHIPLED_0603,LED,Power LED. Optional. Do not mount for battery sensors!,
L2,,LEDCHIPLED_0603,CHIPLED_0603,LED,,
M1,WIRELESS-NRF24L01SMD2,WIRELESS-NRF24L01-SMD-2,2.4 GHz Wireless Module based on NRF24L01 chip,,,
PWR,MSK-12C02_SMD_SPDT_SWITCH,MSK-12C02,Footprint of the VIMEX MSK-12C02 SPDT SMD Switch,Optional. Mount if you prefer a switch,https://www.aliexpress.com/item/100PCS-MSK-12C01-07-1P2T-7-foot-SMT-SMD-Stubbs-2-Position-Power-Mico-Switch/32703634956.html,
R1,10k,R-EU_R0603,R0603,RESISTOR,,
R2,56,R-EU_R0603,R0603,RESISTOR,,
R3,10k,R-EU_R0603,R0603,RESISTOR,,
R4,,R-EU_R0603,R0603,RESISTOR,Optional pullup resistor,
R5,,R-EU_R0603,R0603,RESISTOR,Optional pullup resistor,
R6,,R-EU_R0603,R0603,RESISTOR,Optional pullup resistor,
R7,,R-EU_R0603,R0603,RESISTOR,Optional pullup resistor,
R8,,R-EU_R0603,R0603,RESISTOR,Optional pullup resistor,
R9,,R-EU_R0603,R0603,RESISTOR,Optional pullup resistor,
R10,,R-EU_R0603,R0603,RESISTOR,Optional pullup resistor,
R11,,R-EU_R0603,R0603,RESISTOR,Optional pullup resistor,
R12,56,R-EU_R0603,R0603,RESISTOR,,
